MsgID.LOCAL_VELOCITY,52.2760000,-0.0120970,-0.0025801,0.1131556
MsgID.GLOBAL_POSITION,0.0000000,-122.3993338,37.7929748,69.0770000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.0500000
MsgID.LOCAL_POSITION,52.5260000,54.9795952,-167.4524994,-69.0779877
MsgID.LOCAL_VELOCITY,52.5260000,-0.0199496,-0.0034004,0.0501309
MsgID.GLOBAL_POSITION,0.0000000,-122.3993335,37.7929737,69.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,52.7760000,54.8645248,-167.4239655,-69.0817871
MsgID.LOCAL_VELOCITY,52.7760000,0.0000823,-0.0000250,-0.0036182
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3993330,37.7929728,69.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.0260000,54.7620621,-167.3852997,-69.0825043
MsgID.LOCAL_VELOCITY,53.0260000,0.0000800,-0.0000231,-0.0030987
MsgID.GLOBAL_POSITION,0.0000000,-122.3993330,37.7929731,69.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.2760000,54.7986221,-167.3851624,-69.0825119
MsgID.LOCAL_VELOCITY,53.2760000,-0.0000006,-0.0000040,0.0000306
MsgID.GLOBAL_POSITION,0.0000000,-122.3993330,37.7929731,69.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.5260000,54.7991257,-167.3851624,-69.0825119
MsgID.LOCAL_VELOCITY,53.5260000,0.0000283,0.0000447,0.0010676
MsgID.GLOBAL_POSITION,0.0000000,-122.3993330,37.7929731,69.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.7770000,54.7991257,-167.3858337,-69.0825119
MsgID.LOCAL_VELOCITY,53.7770000,-0.0000193,-0.0000039,0.0002670
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3993335,37.7929731,69.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.0270000,54.7991333,-167.4224243,-69.0825119
MsgID.LOCAL_VELOCITY,54.0270000,0.0000043,-0.0000081,0.0006330
MsgID.GLOBAL_POSITION,0.0000000,-122.3993321,37.7929729,69.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.2770000,54.7697906,-167.2994232,-69.0829773
MsgID.LOCAL_VELOCITY,54.2770000,0.0000065,-0.0000199,0.0002589
MsgID.GLOBAL_POSITION,0.0000000,-122.3993323,37.7929725,69.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.5270000,54.7329254,-167.3174133,-69.0856247
MsgID.LOCAL_VELOCITY,54.5270000,-0.0000331,0.0000054,0.0005700
MsgID.GLOBAL_POSITION,0.0000000,-122.3993338,37.7929726,69.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.7770000,54.7370529,-167.4561462,-69.0917740
MsgID.LOCAL_VELOCITY,54.7770000,0.0000446,0.0000637,0.0017915
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3993337,37.7929742,69.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.0270000,54.9175491,-167.4407959,-69.1011124
MsgID.LOCAL_VELOCITY,55.0270000,-0.0000086,-0.0000532,0.0003923
MsgID.GLOBAL_POSITION,0.0000000,-122.3993351,37.7929735,69.1110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.2770000,54.8374023,-167.5663910,-69.1112747
MsgID.LOCAL_VELOCITY,55.2770000,-0.0000906,-0.0000036,0.0014853
